timestep,ep_rew_mean,ep_rew_std,ep_len_mean,checkpoints_reached,lava_fraction,timeout_fraction,explained_variance,entropy_loss
92160,1.183148833333341,372.7393114551433,302.5,2.21484375,0.0,0.0,nan,nan
94208,-265.19627025,297.5445912617969,282.0,2.08203125,0.0,0.0,0.6164370775222778,-1.4959689773619176
96256,-33.45410822222222,149.53128102596423,225.44444444444446,1.4267578125,0.0,0.0,0.49505364894866943,-1.5336094085127114
98304,78.07693799999998,118.90922252221822,290.3333333333333,1.73681640625,0.0,0.0,0.5563944876194,-1.4631949551403522
100352,-71.11665999999997,395.7917854350721,264.55555555555554,1.634765625,0.0,0.0,0.5254294574260712,-1.4638397216796875
102400,-52.246723333333335,342.3861377677822,266.1666666666667,2.34912109375,0.0,0.0,0.6738811433315277,-1.5048359122127295
104448,45.59445514285715,379.32211500312434,350.7142857142857,2.541015625,0.0,0.0,0.7054936587810516,-1.5183267589658498
106496,20.624885571428553,469.2082262974694,282.85714285714283,2.19921875,0.0,0.0,0.6313881576061249,-1.4768768023699521
108544,-222.021021125,330.09692214456464,249.25,1.556640625,0.0,0.0,0.6401422321796417,-1.4543844107538462
110592,-106.64215337499999,302.3818949013362,268.375,2.18701171875,0.0,0.0,0.6435741484165192,-1.515991000086069
112640,-377.596693125,292.11276873271095,228.875,1.5400390625,0.0,0.0,0.5487191081047058,-1.509726244211197
114688,118.74075900000003,329.8264943225411,339.8333333333333,1.8125,0.0,0.0,0.6747416853904724,-1.5203134328126908
116736,55.10344400000002,184.73371714436695,302.2857142857143,2.20849609375,0.0,0.0,0.6329973638057709,-1.4659494791179895
118784,16.588322999999992,299.3800164047854,315.0,1.99951171875,0.0,0.0,0.5691664814949036,-1.5828297663480044
120832,106.6555015,342.48606870159233,244.0,1.41845703125,0.0,0.0,0.7218475341796875,-1.5285762146115303
122880,162.70235983333336,514.9970682479751,322.8333333333333,2.5205078125,0.0,0.0,0.7427252233028412,-1.4180507510900497
124928,-28.303477142857144,409.2282270050099,323.0,2.5380859375,0.0,0.0,0.6652372777462006,-1.4778861545026303
126976,-149.7322428,527.7050085537816,416.4,2.82861328125,0.0,0.0,0.6226235032081604,-1.5739288430660963
129024,162.33629285714284,344.38071721301696,289.14285714285717,2.14599609375,0.0,0.0,0.5846375226974487,-1.507585873454809
