timestep,ep_rew_mean,ep_rew_std,ep_len_mean,checkpoints_reached,lava_fraction,timeout_fraction,explained_variance,entropy_loss
4105,835.6526389999999,1379.7475346473097,331.2,2.85302734375,0.0,0.0,nan,nan
6153,1444.0436836666668,1144.4024683543155,345.3333333333333,3.49169921875,0.0,0.0,0.0004050731658935547,-1.381219132617116
8201,1559.3487994285713,1118.5293220123456,338.0,3.44580078125,0.0,0.0,-0.0022993087768554688,-1.3766456667333842
10249,1144.0263197142858,1164.9905415266974,282.14285714285717,2.77490234375,0.0,0.0,0.009478449821472168,-1.37240482121706
12297,1000.2440794285715,1296.5596301366427,259.42857142857144,2.8134765625,0.0,0.0,0.004850268363952637,-1.3655557297170162
14345,877.7088531666667,1207.6146202264051,340.5,2.9033203125,0.0,0.0,0.00511699914932251,-1.3687851034104823
16393,1435.1368195,1338.8928840200642,298.5,2.8896484375,0.0,0.0,0.008646607398986816,-1.3685176458209753
18441,1710.5042523333332,1175.4314573454446,318.3333333333333,3.740234375,0.0,0.0,-0.0155562162399292,-1.3611913610249757
20489,1538.3130884285713,905.3812705365591,282.14285714285717,3.61474609375,0.0,0.0,-0.0017708539962768555,-1.3509224310517312
22537,1025.8641391249998,1208.427507812861,255.75,2.31298828125,0.0,0.0,0.025825202465057373,-1.3502674743533134
24585,857.0064516666667,1179.89321834128,301.5,3.00732421875,0.0,0.0,-0.011537790298461914,-1.3465849231928586
26633,1464.4720012857142,1133.803833180178,355.14285714285717,3.32373046875,0.0,0.0,0.032798588275909424,-1.3439781233668326
28681,1480.5745671999998,1027.4797092804733,361.2,3.53369140625,0.0,0.0,0.022762060165405273,-1.3493330005556345
30729,1833.0961265714284,1368.048062437723,298.0,3.44091796875,0.0,0.0,-0.005283832550048828,-1.3351135760545731
32777,1340.7744053333333,1149.8987012296745,338.8333333333333,3.396484375,0.0,0.0,0.009208321571350098,-1.320404477417469
34825,796.9378682857142,1092.9788476145754,310.2857142857143,2.74951171875,0.0,0.0,0.009765088558197021,-1.3218456231057645
36873,655.4082392500001,1008.7996889977538,266.0,2.4560546875,0.0,0.0,-0.0025957822799682617,-1.3258167318999767
38921,371.85015387500005,645.1172081272136,261.875,2.478515625,0.0,0.0,0.04142427444458008,-1.3332310803234577
40969,101.754570625,499.18606030083356,233.625,2.12548828125,0.0,0.0,0.07863569259643555,-1.3364069029688834
43017,1067.0652444285715,1382.8269994215434,288.0,2.826171875,0.0,0.0,0.06067019701004028,-1.3250013027340173
45065,1487.0036478333334,1105.1283910044106,365.5,3.455078125,0.0,0.0,0.03886944055557251,-1.336103294789791
47113,35.79591362500001,1173.928154818045,239.625,2.3212890625,0.0,0.0,0.01797807216644287,-1.3247710641473531
49161,554.6134691428571,942.5715627311087,304.85714285714283,3.1376953125,0.0,0.0,0.02669471502304077,-1.3201137118041515
51209,783.176657125,1372.3982098372092,254.25,2.61669921875,0.0,0.0,0.011516571044921875,-1.3237273573875428
53257,899.9027058571428,1242.7460847570296,302.0,3.1875,0.0,0.0,0.11281025409698486,-1.3182207509875297
55305,1052.3502584999999,939.1739519556471,312.8333333333333,3.48876953125,0.0,0.0,-0.005275726318359375,-1.3296185798943043
57353,551.3275971249999,1214.808749796728,250.75,2.40771484375,0.0,0.0,0.04747581481933594,-1.3288373555988073
59401,1120.2839266666667,1186.8071113863912,315.1666666666667,3.2080078125,0.0,0.0,0.03708928823471069,-1.3154323935508727
61449,854.3240604285714,1144.6039188422408,320.42857142857144,2.63330078125,0.0,0.0,0.011673927307128906,-1.3186869759112596
63497,401.7233648571429,648.4620573323796,304.85714285714283,2.40380859375,0.0,0.0,0.0022594332695007324,-1.3325867503881454
65545,1909.8883197142857,1062.3494093912625,307.85714285714283,3.99267578125,0.0,0.0,0.09007608890533447,-1.3308898508548737
67593,759.7753346249999,1360.8672879580492,232.875,2.55615234375,0.0,0.0,0.019739091396331787,-1.315635607764125
69641,1698.6781788571427,1365.0942078036521,310.57142857142856,3.38916015625,0.0,0.0,0.13540291786193848,-1.3236294511705637
71689,730.3231263333333,1132.9437039855654,304.0,2.83837890625,0.0,0.0,0.04565352201461792,-1.3066975526511668
73919,2189.708178166667,783.5262465641275,310.6666666666667,3.20849609375,0.0,0.0,nan,nan
75967,1234.4166464999998,1293.5946312508795,261.0,2.57861328125,0.0,0.0,-0.01055288314819336,-1.3261320736259221
79771,1193.799807125,907.4039931815746,241.5,3.091796875,0.0,0.0,nan,nan
